,catalog_number,right_ascension,declination,spectral_type_a,spectral_type_b,v_magnitude,ascension_proper_motion,declination_proper_motion,UVEC_ECI,ANG_DIST,UVEC_BODY,LAMBDA_STAR,IMAGE_CENTROID,IN_IMAGE
0,93.0,0.10817405259756523,1.0791564690553388,b'B',b'9',5.4,5.817764048288154e-08,-4.8481370029662685e-09,[0.46931284 0.05096642 0.88155991],0.16293667576937038,[0.00375365 0.16217325 0.98675516],-3040.267857750808,[ -11.41209821 -493.05010991],True
0,130.0,0.14398966328953222,1.0983647871008981,b'B',b'1',4.16,1.4544410120720386e-08,-1.4544410120720386e-08,[0.45034366 0.06529672 0.89046444],0.1429211254879419,[0.01788847 0.14130729 0.98980415],-3030.902631312918,[ -54.21821695 -428.288624  ],True
0,168.0,0.1767509477905091,0.986760677709483,b'K',b'0',2.23,2.5695123895275174e-07,-1.551403840949206e-07,[0.5428045  0.09695295 0.83424421],0.17878811086629354,[-0.09431374  0.15076791  0.98405993],-3048.5948015628237,[ 287.52438779 -459.63027592],True
0,196.0,0.19760036014662474,0.9637999017721358,b'A',b'2',5.42,-1.2120341352783726e-07,9.696274005932537e-09,[0.55930324 0.11197978 0.82136497],0.1879047532386807,[-0.11909544  0.14391271  0.98239779],-3053.7528126852976,[ 363.68804302 -439.47383124],True
0,219.0,0.21423916568230394,1.0090766514509548,b'F',b'9',3.44,5.332950422598515e-06,-2.5646643280197168e-06,[0.52046538 0.11324193 0.84634039],0.14870410803575654,[-0.07671622  0.12674786  0.9889639 ],-3033.4777537747027,[ 232.7169342  -384.48681536],True
0,233.0,0.2213368379737476,1.121330411175057,b'G',b'0',5.39,1.4544410475991754e-07,-5.817764048288154e-08,[0.42388524 0.09538415 0.90067928],0.108342608301774,[0.03287057 0.10301355 0.99413668],-3017.693708869311,[ -99.19330804 -310.86332719],True
0,244.0,0.2315542863031311,1.0668179608711008,b'F',b'8',4.82,-3.442177103352151e-07,8.338795396412024e-07,[0.47002455 0.11082401 0.87566829],0.11045773681630539,[-0.02159855  0.1080966   0.99390574],-3018.3948702630823,[  65.19294886 -326.27821296],True
0,253.0,0.23999004435443697,1.0292691412691672,b'K',b'2',4.83,-1.551403840949206e-07,-2.084698849103006e-07,[0.50067279 0.12251771 0.8569225 ],0.12541184641879066,[-0.05928385  0.11014205  0.99214624],-3023.747800894132,[ 179.25940032 -333.04178538],True
0,264.0,0.2474367824962795,1.059705744169224,b'B',b'0',2.47,1.2605156030076614e-07,-2.4240684126652923e-08,[0.47423155 0.11979723 0.87221159],0.10618466620720629,[-0.02989354  0.10168209  0.9943677 ],-3016.9925971043936,[  90.18857933 -306.77410442],True
0,265.0,0.24724043295543013,1.032905243877489,b'G',b'8',4.63,-4.4602859361475566e-07,-2.2301429680737783e-07,[0.49674693 0.12538116 0.85879104],0.12024402630840082,[-0.05630902  0.10591681  0.99277939],-3021.8193689829104,[ 170.15569602 -320.06145952],True
0,321.0,0.29789861449456567,0.9585396733320969,b'G',b'5',5.17,1.6600020899204537e-05,-7.737626219750382e-06,[0.54940253 0.16868596 0.81835317],0.16063081036016053,[-0.13337854  0.08826815  0.98712659],-3039.1238958925783,[ 405.35390866 -268.25782993],True
0,336.0,0.3082905957491485,1.2004132188376442,b'A',b'0',5.29,1.7453292855407199e-07,-1.502922373219917e-07,[0.3449069  0.10983344 0.93218874],0.12056662490291557,[0.10586365 0.05708679 0.99274064],-3021.9373170954864,[-319.91330241 -172.51268763],True
0,343.0,0.31024681895242556,0.9625442343380616,b'A',b'7',4.33,1.1102233656856697e-06,-1.0665900873618739e-07,[0.54415266 0.17445516 0.82064808],0.15387774620495695,[-0.13020933  0.08085538  0.98818416],-3035.8713635744484,[ 395.29877819 -245.46651936],True
0,382.0,0.34942218845448153,1.016334312257165,b'F',b'0',4.98,0.0,-9.696274005932537e-09,[0.4946708  0.1802451  0.85018381],0.09634020428097789,[-0.07880163  0.05516393  0.99536287],-3013.976197074648,[ 237.50623315 -166.26276116],True
0,399.0,0.37495490097011525,1.1890928193837367,b'K',b'0',4.74,3.587621222322923e-07,1.2605156030076614e-07,[0.34662203 0.13642159 0.92803142],0.09883702983672946,[0.09276661 0.0336355  0.9951196 ],-3014.7130184829202,[-279.66469707 -101.40138571],True
